building_size,type,Value,bedroom,age,bathrooms,toilets,Boy'squarter,loc_density,condition,Ceiling ,Floor,Roof,Window ,Painting,water,Electricity,Car_park,Security
300,Detached house,220000000,5,5,5,6,Absent,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Gated estate
450,Detached house,300000000,6,1,6,6,Present,High density,Very good,POP,Others,Long Span Aluminium Roofing sheet,Casement,Textcote Paint,Good,Very good,Present,Gated estate
350,Detached house,350000000,5,4,6,7,Present,High density,Very good,Others,Marble,Long Span Aluminium Roofing sheet,Casement,Textcote Paint,Good,Good,Present,Private gate/fence
800,Terrace,130000000,3,3,3,4,Absent,Medium density,Good,POP,Marble,Others,Glazed Aluminium Sliding Window,Gloss Paint,Fair,Fair,Not present,Gated estate
120,Bungalow,80000000,2,8,2,3,Present,Medium density,Good,Others,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Fair,Not present,Private gate/fence
210,Terrace,145000000,4,12,2,3,Absent,High density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Gated estate
683,Semi-detached house,170000000,5,1,5,6,Present,Medium density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Gloss Paint,Fair,Very good,Present,Gated estate
400,Detached house,230000000,4,7,4,5,Absent,Medium density,Good,Others,Marble,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Not present,Gated estate
300,Semi-detached house,150000000,4,6,4,5,Present,Medium density,Good,POP,Others,Others,Glazed Aluminium Sliding Window,Gloss Paint,Fair,Fair,Present,Gated estate
400,Detached house,280000000,3,9,4,5,Absent,High density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Satin Paint,Good,Very good,Present,Private gate/fence
500,Detached house,800000000,6,2,6,7,Present,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Good,Very good,Present,Private gate/fence
200,Semi-detached house,180000000,3,4,4,5,Present,Medium density,Good,POP,Tiles,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Bad,Very good,Present,Gated estate
430,Detached house,430000000,5,1,4,5,Absent,High density,Very good,POP,Others,Aluminium Step Tiles Roofing Sheet,Casement,Textcote Paint,Good,Good,Present,Gated estate
300,Detached house,550000000,4,1,4,5,Absent,High density,Very good,POP,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Good,Present,Gated estate
450,Detached house,300000000,4,5,4,5,Absent,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Good,Good,Present,Gated estate
500,Detached house,600000000,5,3,5,6,Absent,High density,Very good,POP,Marble,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Gated estate
650,Detached house,220000000,1,1,3,4,Present,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Satin Paint,Good,Good,Not present,Private gate/fence
300,Semi-detached house,180000000,4,6,3,3,Present,Low density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Fair,Fair,Not present,Private gate/fence
650,Semi-detached house,170000000,3,7,3,4,Present,Medium density,Good,POP,Others,Aluminium Step Tiles Roofing Sheet,Casement,Gloss Paint,Good,Good,Not present,Street gate
350,Semi-detached house,390000000,5,8,7,7,Absent,High density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Gated estate
600,Detached house,1400000000,6,1,7,7,Present,High density,Very good,Others,Others,Long Span Aluminium Roofing sheet,Others,Emulsion Paint,Good,Very good,Present,Gated estate
500,Detached house,180000000,4,15,3,3,Absent,Medium density,Fair,POP,Marble,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Fair,Good,Not present,Street gate
240,Bungalow,45000000,2,5,2,2,Absent,Medium density,Good,PVC,Others,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Bad,Fair,Not present,None
150,Mini Flat,30000000,1,6,1,2,Absent,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Good,Good,Not present,Private gate/fence
580,Detached house,190000000,3,2,3,4,Present,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Good,Good,Present,Gated estate
500,Semi-detached house,120000000,4,1,6,6,Present,Medium density,Very good,POP,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Fair,Good,Not present,Private gate/fence
500,Semi-detached house,110000000,5,10,4,4,Absent,Low density,Fair,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Satin Paint,Fair,Good,Not present,Gated estate
400,Detached house,75000000,3,18,3,3,Absent,Medium density,Poor,Asbestos,Marble,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,None,Bad,Good,Not present,Private gate/fence
300,Bungalow,50000000,3,1,3,4,Absent,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Present,Gated estate
200,Bungalow,55000000,4,4,4,5,Present,High density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Good,Very good,Present,Gated estate
500,Bungalow,65000000,3,3,3,4,Absent,High density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Gated estate
650,Detached house,210000000,4,1,2,4,Absent,Low density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Fair,Bad,Present,Gated estate
900,Detached house,1000000000,7,1,9,8,Present,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Very good,Present,Gated estate
600,Detached house,400000000,6,2,4,5,Absent,High density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Gated estate
350,Semi-detached house,80000000,3,2,2,3,Absent,Low density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Fair,Good,Not present,Gated estate
460,Terrace,980000000,3,1,3,3,Present,Low density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Not present,Gated estate
300,Bungalow,75000000,4,8,3,3,Absent,Medium density,Good,PVC,Others,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Satin Paint,Good,Good,Not present,Private gate/fence
900,Detached house,800000000,5,5,5,6,Present,High density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Textcote Paint,Good,Very good,Present,Private gate/fence
600,Semi-detached house,350000000,4,2,4,4,Absent,High density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Fair,Very good,Present,Private gate/fence
500,Terrace,220000000,3,1,3,4,Present,High density,Very good,POP,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Satin Paint,Good,Good,Not present,Street gate
640,Detached house,310000000,4,1,3,4,Absent,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Fair,Very good,Present,Gated estate
300,Bungalow,170000000,5,1,5,6,Present,High density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Gloss Paint,Good,Good,Not present,Gated estate
300,Detached house,270000000,5,2,5,5,Absent,Medium density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Not present,Gated estate
300,Bungalow,170000000,5,1,4,4,Absent,High density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Fair,Good,Not present,Private gate/fence
400,Semi-detached house,120000000,3,1,4,5,Absent,Medium density,Good,Others,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Gated estate
400,Detached house,200000000,4,12,4,4,Present,Medium density,Good,Others,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Fair,Present,Gated estate
200,Semi-detached house,120000000,4,10,4,5,Absent,Low density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Others,Satin Paint,Fair,Fair,Not present,Gated estate
300,Detached house,200000000,3,6,4,4,Present,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Good,Present,Private gate/fence
250,Terrace,90000000,2,2,2,3,Absent,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Good,Good,Not present,Street gate
600,Detached house,450000000,3,1,4,5,Present,Medium density,Very good,POP,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Very good,Present,Gated estate
500,Semi-detached house,115000000,4,10,3,3,Absent,Medium density,Fair,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Fair,Not present,Gated estate
300,Bungalow,165000000,2,1,3,4,Present,High density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Gated estate
250,Bungalow,130000000,3,2,2,3,Absent,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Good,Good,Not present,Private gate/fence
500,Detached house,300000000,6,3,4,5,Absent,Medium density,Very good,Others,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Satin Paint,Good,Very good,Present,Gated estate
120,Bungalow,18000000,3,18,2,2,Absent,Low density,Poor,Asbestos,Cement screed,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,None,Fair,Fair,Not present,Private gate/fence
500,Detached house,250000000,5,1,5,6,Absent,Medium density,Very good,POP,Tiles,Others,Glazed Aluminium Sliding Window,Textcote Paint,Good,Very good,,Gated estate
500,Detached house,261500000,4,3,4,5,Present,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Others,Emulsion Paint,Good,Fair,Not present,Private gate/fence
300,Semi-detached house,90000000,3,5,3,4,Absent,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Satin Paint,Good,Good,Not present,Private gate/fence
165,Detached house,205000000,3,9,3,4,Present,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Good,,Private gate/fence
650,Bungalow,60000000,3,1,4,4,Absent,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Bad,Good,Not present,Gated estate
243,Bungalow,48000000,3,6,3,4,Absent,Low density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Fair,Not present,None
250,Terrace,250000000,,3,3,3,Absent,Medium density,,Others,Tiles,Long Span Aluminium Roofing sheet,Casement,Textcote Paint,Fair,Fair,Not present,Gated estate
700,Detached house,500000000,7,10,7,8,Present,Medium density,Good,Others,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Fair,Very good,Not present,Private gate/fence
300,Bungalow,48000000,3,6,3,3,Absent,Low density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Satin Paint,Fair,Good,Not present,Private gate/fence
450,Semi-detached house,250000000,4,2,4,5,Present,Medium density,Very good,Others,Tiles,Long Span Aluminium Roofing sheet,Casement,Gloss Paint,Good,Good,Not present,Gated estate
350,Semi-detached house,75000000,3,9,2,3,Absent,Low density,Good,POP,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Fair,Good,Not present,Street gate
400,Semi-detached house,100000000,4,5,4,5,Present,Medium density,Good,Others,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Fair,Not present,Gated estate
800,Detached house,900000000,5,1,6,7,Present,High density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Gated estate
800,Detached house,950000000,5,12,5,6,Present,High density,Good,POP,Marble,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Very good,Present,Private gate/fence
120,Mini Flat,50000000,1,1,1,2,Absent,Medium density,Good,POP,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Not present,Private gate/fence
200,Detached house,220000000,2,1,2,3,Present,Medium density,Fair,POP,Others,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Bad,Good,Not present,Private gate/fence
400,Semi-detached house,100000000,4,1,4,5,Present,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Private gate/fence
450,Semi-detached house,120000000,5,16,4,5,Present,Medium density,Good,Others,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Good,Good,Not present,Gated estate
450,Detached house,350000000,5,4,6,7,Present,High density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Present,Gated estate
350,Semi-detached house,120000000,4,7,4,4,Present,Medium density,Good,Others,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Fair,Good,Not present,Private gate/fence
700,Detached house,260000000,7,9,6,7,Present,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Textcote Paint,Fair,Good,Present,Private gate/fence
600,Bungalow,75000000,5,11,3,3,Absent,Medium density,Good,PVC,Tiles,Long Span Aluminium Roofing sheet,Casement,Gloss Paint,Good,Good,Not present,Private gate/fence
450,Detached house,450000000,5,1,5,6,Present,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Not present,Gated estate
500,Detached house,350000000,4,2,4,5,Absent,Medium density,Very good,POP,Others,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Private gate/fence
259,Semi-detached house,85000000,4,9,2,3,Absent,Low density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Satin Paint,Fair,Good,Not present,Private gate/fence
400,Detached house,2100000000,4,2,5,6,Absent,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Very good,Present,Private gate/fence
250,Semi-detached house,130000000,4,1,4,5,Present,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Fair,Good,Present,Gated estate
300,Detached house,280000000,5,3,4,5,Present,Medium density,Good,Others,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Fair,Good,Present,Gated estate
250,Detached house,95000000,4,5,3,3,Absent,Low density,Good,POP,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Satin Paint,Fair,Fair,Not present,Gated estate
500,Detached house,1100000000,5,1,6,7,Present,High density,Very good,POP,Tiles,Others,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Present,Gated estate
450,Semi-detached house,260000000,4,3,4,5,Absent,High density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Good,Good,Not present,Gated estate
450,Detached house,390000000,5,5,5,6,Present,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Good,Not present,Private gate/fence
500,Detached house,470000000,5,1,6,7,Absent,High density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Very good,Present,Gated estate
450,Detached house,380000000,5,8,4,6,Absent,High density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Gated estate
1050,Bungalow,630000000,5,5,4,4,Absent,Medium density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Good,Good,Not present,Private gate/fence
600,Bungalow,20000000,3,23,2,2,Absent,Low density,Poor,Asbestos,Cement screed,Corrugated Iron Sheet,Louvers Blade,Gloss Paint,Fair,Good,Not present,Private gate/fence
650,Bungalow,38000000,6,21,2,2,Absent,Low density,Fair,POP,Tiles,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,None,Fair,Fair,Not present,None
356,Bungalow,25000000,3,18,2,2,Absent,Low density,Fair,PVC,Cement screed,Long Span Aluminium Roofing sheet,Louvers Blade,Satin Paint,Fair,Bad,Not present,Private gate/fence
652,Bungalow,65000000,3,8,2,3,Present,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Fair,Good,Not present,Private gate/fence
350,Bungalow,35000000,5,25,3,3,Absent,Low density,Fair,Asbestos,Cement screed,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Fair,Fair,Not present,None
400,Detached house,120000000,5,16,3,4,Absent,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Satin Paint,Fair,Good,Not present,Private gate/fence
500,Bungalow,60000000,5,12,3,4,Absent,Medium density,Good,Asbestos,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Fair,Not present,Private gate/fence
670,Bungalow,100000000,3,14,3,3,Present,Medium density,Good,POP,Wooden,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Not present,Private gate/fence
1300,Detached house,198000000,10,16,7,7,Absent,Medium density,Good,POP,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Private gate/fence
350,Bungalow,40000000,3,9,3,3,Absent,Medium density,Good,PVC,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Fair,Good,Not present,Private gate/fence
600,Semi-detached house,190000000,5,2,5,6,Absent,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Not present,Gated estate
300,Detached house,160000000,5,4,5,6,Present,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Fair,Very good,Not present,Gated estate
950,Detached house,38000000,5,15,5,5,Absent,Low density,Good,Asbestos,Tiles,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Bad,Not present,Private gate/fence
300,Semi-detached house,90000000,4,7,3,4,Absent,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Bad,Good,Not present,Gated estate
400,Semi-detached house,70000000,4,12,3,4,Present,Medium density,Good,POP,Tiles,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Fair,Good,Not present,Street gate
550,Semi-detached house,600000000,5,1,5,7,Present,High density,Very good,POP,Tiles,Others,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Present,Gated estate
400,Detached house,350000000,5,6,4,5,Absent,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Textcote Paint,Good,Very good,Present,Private gate/fence
500,Detached house,325000000,5,5,5,6,Present,High density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Gloss Paint,Fair,Very good,Not present,Gated estate
300,Terrace,120000000,4,1,4,5,Absent,High density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Very good,Present,Gated estate
300,Bungalow,45000000,3,4,3,4,Absent,Medium density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Good,Good,Present,Gated estate
500,Detached house,160000000,5,3,4,5,Present,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Fair,Good,Present,Gated estate
280,Terrace,60000000,3,1,3,4,Absent,Medium density,Good,Others,Marble,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Satin Paint,Fair,Good,Not present,Gated estate
350,Detached house,47000000,3,12,2,3,Absent,Medium density,Fair,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Satin Paint,Bad,Fair,Not present,None
500,Detached house,370000000,5,1,5,6,Present,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Gated estate
300,Detached house,225000000,4,8,4,5,Absent,High density,Very good,POP,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Not present,Gated estate
320,Semi-detached house,140000000,4,10,4,6,Present,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Textcote Paint,Fair,Good,Present,Gated estate
400,Semi-detached house,76000000,5,15,5,6,Absent,Medium density,Fair,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Street gate
400,Detached house,200000000,4,2,4,5,Absent,High density,Good,POP,Others,Long Span Aluminium Roofing sheet,Casement,Textcote Paint,Good,Very good,Present,Gated estate
350,Detached house,175000000,5,1,6,6,Present,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Private gate/fence
420,Detached house,250000000,6,2,5,6,Absent,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Good,Not present,Private gate/fence
300,Semi-detached house,190000000,5,1,5,6,Present,High density,Very good,POP,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Present,Gated estate
500,Semi-detached house,140000000,4,3,4,5,Absent,Medium density,Very good,Others,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Fair,Very good,Not present,Gated estate
465,Detached house,180000000,4,5,4,5,Present,High density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Not present,Gated estate
180,Detached house,120000000,3,4,3,4,Present,Medium density,Good,Others,Tiles,Long Span Aluminium Roofing sheet,Others,Gloss Paint,Bad,Very good,Not present,Private gate/fence
400,Semi-detached house,280000000,5,1,6,6,Present,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Present,Gated estate
580,Detached house,230000000,5,6,6,7,Present,High density,Good,Others,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Satin Paint,Good,Very good,Present,Private gate/fence
350,Detached house,87000000,4,1,5,4,Absent,Medium density,Very good,POP,Tiles,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,Satin Paint,Good,Good,Not present,Street gate
500,Detached house,260000000,5,1,5,6,Present,Medium density,Very good,POP,Tiles,Others,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Present,Gated estate
600,Detached house,130000000,4,14,4,5,Absent,Low density,Fair,Others,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Fair,Fair,Not present,Private gate/fence
500,Bungalow,70000000,3,2,3,4,Absent,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Private gate/fence
400,Semi-detached house,175000000,4,5,5,6,Present,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Very good,Not present,Gated estate
170,Semi-detached house,110000000,4,3,4,5,Absent,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Others,Textcote Paint,Good,Good,Not present,Gated estate
350,Detached house,175000000,5,2,5,6,Present,Medium density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Textcote Paint,Good,Good,Not present,Gated estate
500,Semi-detached house,120000000,4,5,4,5,Present,Medium density,Very good,POP,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Not present,Gated estate
250,Bungalow,75000000,3,1,3,4,Present,High density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Very good,Present,Gated estate
280,Terrace,75000000,3,1,3,4,Present,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Satin Paint,Fair,Good,Present,Street gate
300,Detached house,115000000,5,1,4,5,Present,Medium density,Very good,Others,Tiles,Long Span Aluminium Roofing sheet,Casement,Textcote Paint,Good,Very good,Present,Gated estate
120,Terrace,75000000,4,2,4,5,Absent,Medium density,Very good,POP,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Street gate
350,Semi-detached house,120000000,4,1,4,4,Absent,Low density,Very good,POP,Others,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Good,Fair,Present,Gated estate
250,Terrace,125000000,5,3,5,6,Present,High density,Good,POP,Others,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Good,Not present,Private gate/fence
400,Semi-detached house,150000000,4,5,4,5,Absent,Medium density,Good,Others,Others,Long Span Aluminium Roofing sheet,Casement,Satin Paint,Fair,Very good,Not present,Gated estate
90,Terrace,55000000,2,5,2,3,Absent,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Gloss Paint,Good,Good,Present,Gated estate
250,Terrace,75000000,4,1,4,5,Absent,High density,Good,POP,Tiles,Others,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Street gate
600,Detached house,150000000,4,1,3,4,Present,Medium density,Very good,POP,Tiles,Others,Glazed Aluminium Sliding Window,Satin Paint,Fair,Good,Not present,Private gate/fence
501,Detached house,250000000,5,6,6,7,Present,High density,Good,POP,Others,Aluminium Step Tiles Roofing Sheet,Casement,Gloss Paint,Good,Very good,Present,Private gate/fence
500,,160000000,4,1,5,6,Present,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Good,Good,Present,Gated estate
500,Bungalow,60000000,2,1,2,3,Absent,Medium density,Good,POP,Others,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Not present,Private gate/fence
600,Detached house,65000000,3,2,4,5,Present,Medium density,Fair,Others,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,None,Bad,Bad,Not present,None
500,Detached house,100000000,4,3,4,5,Absent,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Gloss Paint,Good,Very good,Present,Private gate/fence
