building_size,type,Value,bedroom,age,bathrooms,toilets,Boy'squarter,loc_density,condition,Ceiling ,Floor,Roof,Window ,Painting,water,Electricity,Car_park,Security
300,Bungalow,23000000,4,1,4,4,Absent,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Good,Good,Present,Private gate/fence
400,Semi-detached house,40000000,2,1,2,3,Absent,Low density,Very good,POP,Others,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Street gate
400,Detached house,60000000,5,10,5,6,Present,Low density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Textcote Paint,Good,Good,Present,Private gate/fence
200,Bungalow,60000000,2,3,2,2,Absent,Medium density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Fair,Good,Not present,Private gate/fence
300,Bungalow,43000000,3,2,3,4,Absent,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Private gate/fence
648,Bungalow,35000000,3,13,3,3,Absent,Medium density,Fair,Asbestos,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Satin Paint,Good,Good,Not present,Private gate/fence
300,Semi-detached house,65000000,4,7,4,4,Absent,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Not present,Private gate/fence
657,Detached house,450000000,6,15,6,7,Present,High density,Good,POP,Others,Others,Glazed Aluminium Sliding Window,Textcote Paint,Good,Very good,Not present,Private gate/fence
900,Detached house,440000000,6,10,7,7,Present,High density,Good,POP,Marble,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Very good,Present,Gated estate
400,Semi-detached house,130000000,5,6,5,6,Absent,Medium density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Present,Gated estate
600,Bungalow,80000000,4,1,4,4,Absent,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Private gate/fence
600,Detached house,500000000,6,12,6,6,Absent,High density,Good,POP,Tiles,Others,Casement,Emulsion Paint,Fair,Very good,Not present,Private gate/fence
250,Detached house,80000000,5,4,5,5,Present,Medium density,Good,POP,Others,Others,Glazed Aluminium Sliding Window,Gloss Paint,Good,Good,Present,Gated estate
300,Detached house,1440000000,4,1,4,5,Absent,Medium density,Very good,Others,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Present,Gated estate
300,Detached house,170000000,5,11,5,6,Present,High density,Very good,POP,Tiles,Others,Glazed Aluminium Sliding Window,Gloss Paint,Fair,Good,Present,Private gate/fence
240,Semi-detached house,120500000,4,1,5,5,Absent,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Private gate/fence
420,Detached house,170000000,6,2,6,7,Absent,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Fair,Fair,Present,Private gate/fence
503,Detached house,270000000,5,1,5,6,Present,Medium density,Very good,POP,Tiles,Others,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Present,Private gate/fence
350,Detached house,370000000,5,1,6,7,Present,High density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Textcote Paint,Good,Very good,Not present,Gated estate
500,Detached house,190000000,6,3,6,6,Absent,Medium density,Very good,Others,Marble,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Not present,Private gate/fence
1200,Detached house,120000000,6,18,4,4,Absent,Medium density,Fair,Asbestos,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,None,Fair,Bad,Not present,Private gate/fence
600,Detached house,110000000,5,3,5,5,Absent,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Private gate/fence
300,Detached house,135000000,4,1,4,4,Absent,Medium density,Good,POP,Tiles,Others,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Not present,Gated estate
500,Detached house,450000000,5,1,5,6,Present,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Gated estate
400,Semi-detached house,95000000,4,3,4,5,Absent,Low density,Good,Others,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Gated estate
250,Semi-detached house,120000000,4,1,4,5,Absent,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Fair,Good,Present,Gated estate
285,Terrace,87000000,4,4,4,4,Absent,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Gloss Paint,Good,Good,Present,Gated estate
400,Detached house,75000000,4,9,4,4,Present,Medium density,Fair,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Fair,Fair,Not present,Private gate/fence
350,Semi-detached house,96000000,3,1,3,4,Present,Low density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Present,Private gate/fence
300,Semi-detached house,78000000,5,8,5,5,Absent,Medium density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Fair,Good,Present,Private gate/fence
250,Semi-detached house,85000000,4,2,4,5,Absent,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Street gate
230,Semi-detached house,95000000,4,2,4,5,Absent,Medium density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Satin Paint,Fair,Good,Not present,Street gate
660,Detached house,400000000,6,1,6,7,Absent,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Satin Paint,Good,Good,Present,Gated estate
400,Detached house,120000000,4,6,4,5,Absent,Medium density,Good,POP,Tiles,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,Satin Paint,Good,Good,Not present,Private gate/fence
600,Detached house,180000000,5,3,5,6,Present,Medium density,Very good,POP,Tiles,Others,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Gated estate
